127.0.0.1 - - [17/Mar/2023:09:36:39 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [17/Mar/2023:09:36:39 +0900] "GET /FrontStudy/day0316/order1_practice.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Mar/2023:09:36:39 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [17/Mar/2023:09:37:41 +0900] "GET /FrontStudy/day0316/order1_practice.html HTTP/1.1" 200 2482
0:0:0:0:0:0:0:1 - - [17/Mar/2023:09:42:30 +0900] "GET /FrontStudy/day0316/order1_practice.html HTTP/1.1" 200 2401
0:0:0:0:0:0:0:1 - - [17/Mar/2023:09:42:31 +0900] "GET /FrontStudy/day0316/order1_practice.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Mar/2023:09:43:05 +0900] "GET /FrontStudy/day0316/order1_practice.html HTTP/1.1" 200 2404
0:0:0:0:0:0:0:1 - - [17/Mar/2023:10:06:42 +0900] "GET /FrontStudy/day0316/order2_practice.html HTTP/1.1" 200 1682
0:0:0:0:0:0:0:1 - - [17/Mar/2023:11:12:34 +0900] "GET /FrontStudy/day0317/font_web.html HTTP/1.1" 200 462
0:0:0:0:0:0:0:1 - - [17/Mar/2023:11:15:37 +0900] "GET /FrontStudy/day0317/font_web.html HTTP/1.1" 200 630
0:0:0:0:0:0:0:1 - - [17/Mar/2023:11:15:58 +0900] "GET /FrontStudy/day0317/font_web.html HTTP/1.1" 200 621
0:0:0:0:0:0:0:1 - - [17/Mar/2023:11:27:54 +0900] "GET /FrontStudy/day0317/text-align.html HTTP/1.1" 200 1045
0:0:0:0:0:0:0:1 - - [17/Mar/2023:11:28:37 +0900] "GET /FrontStudy/day0317/text-align.html HTTP/1.1" 200 1053
0:0:0:0:0:0:0:1 - - [17/Mar/2023:11:28:39 +0900] "GET /FrontStudy/day0317/text-align.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Mar/2023:11:28:40 +0900] "GET /FrontStudy/day0317/text-align.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Mar/2023:11:28:40 +0900] "GET /FrontStudy/day0317/text-align.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Mar/2023:11:28:40 +0900] "GET /FrontStudy/day0317/text-align.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Mar/2023:11:28:40 +0900] "GET /FrontStudy/day0317/text-align.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Mar/2023:11:34:37 +0900] "GET /FrontStudy/day0317/text-align.html HTTP/1.1" 200 1055
0:0:0:0:0:0:0:1 - - [17/Mar/2023:11:35:12 +0900] "GET /FrontStudy/day0317/text-align.html HTTP/1.1" 200 1056
0:0:0:0:0:0:0:1 - - [17/Mar/2023:11:35:13 +0900] "GET /FrontStudy/day0317/text-align.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Mar/2023:11:35:13 +0900] "GET /FrontStudy/day0317/text-align.html HTTP/1.1" 304 -
